sample_id	map_step	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
SRR5712494	genome	Dec 17 11:08:27	Dec 17 11:09:12	Dec 17 11:26:24	69.21	19839863	291	16456376	82.95%	288.56	19572885	19213817	19292394	134876	15469	130146	0.28%	0.01%	1.54	0.01%	1.30	1006955	5.08%	33546	0.17%	0.00%	11.77%	0.04%	0	0.00%
SRR5712494	circRNA	Dec 19 00:19:41	Dec 19 00:19:46	Dec 19 01:42:51	1.72	2376780	288	132825	5.59%	277.33	11147	0	2412	309	55	8371	0.34%	0.02%	2.17	0.02%	1.50	23150	0.97%	263	0.01%	0.00%	93.40%	0.03%	0	0.00%
SRR5712495	rRNA	Dec 14 06:08:23	Dec 14 06:08:23	Dec 14 07:55:48	12.66	22672327	290	1200	0.01%	229.65	260	0	77	21	0	162	0.79%	0.13%	3.17	0.02%	1.70	1053300	4.65%	15400	0.07%	0.00%	0.78%	94.50%	0	0.00%
SRR5712495	genome	Dec 17 10:14:41	Dec 17 10:15:22	Dec 17 10:30:57	83.23	21617836	291	18829136	87.10%	288.63	19575299	19162767	19290507	126482	18202	140108	0.30%	0.01%	1.45	0.01%	1.32	1212869	5.61%	29547	0.14%	0.00%	7.13%	0.02%	0	0.00%
SRR5712495	circRNA	Dec 19 06:58:57	Dec 19 06:58:58	Dec 19 07:21:30	4.20	1576162	287	133055	8.44%	280.34	10622	0	2126	353	3	8140	0.31%	0.02%	2.30	0.03%	2.37	20602	1.31%	293	0.02%	0.00%	90.19%	0.04%	0	0.00%
SRR5712496	rRNA	Dec 14 18:44:48	Dec 14 18:44:48	Dec 14 19:42:50	14.39	13915781	288	1003	0.01%	241.26	196	0	119	1	0	76	0.51%	0.04%	2.58	0.02%	2.20	2477701	17.80%	26617	0.19%	0.00%	1.05%	80.95%	0	0.00%
SRR5712496	genome	Dec 17 14:35:28	Dec 17 14:36:14	Dec 17 14:46:44	65.35	11437098	290	9601974	83.95%	288.16	11092313	10877098	10918420	74925	10018	88950	0.28%	0.01%	1.44	0.01%	1.30	660297	5.77%	27410	0.24%	0.00%	9.99%	0.04%	0	0.00%
SRR5712496	circRNA	Dec 19 02:31:01	Dec 19 02:31:04	Dec 19 02:54:45	2.98	1175032	285	67623	5.75%	276.06	5500	0	1102	392	4	4002	0.34%	0.03%	2.74	0.03%	2.40	12583	1.07%	208	0.02%	0.00%	93.11%	0.04%	0	0.00%
SRR5712497	rRNA	Dec 14 06:18:07	Dec 14 06:18:07	Dec 14 08:28:42	10.26	22337896	288	896	0.00%	221.18	116	0	54	7	0	55	0.62%	0.04%	1.54	0.04%	2.70	637106	2.85%	12733	0.06%	0.00%	1.00%	96.09%	0	0.00%
SRR5712497	genome	Dec 17 10:32:09	Dec 17 10:32:53	Dec 17 10:49:03	80.54	21699905	290	18918765	87.18%	287.13	17620082	17193556	17348738	122369	15649	133326	0.33%	0.01%	1.50	0.01%	1.29	1282563	5.91%	38285	0.18%	0.00%	6.70%	0.03%	0	0.00%
SRR5712497	circRNA	Dec 19 06:41:58	Dec 19 06:42:00	Dec 19 07:06:04	3.74	1498896	285	148547	9.91%	280.03	11827	0	2436	508	36	8847	0.31%	0.02%	2.32	0.03%	2.04	22081	1.47%	402	0.03%	0.00%	88.54%	0.05%	0	0.00%
SRR5712498	rRNA	Dec 13 22:50:33	Dec 13 22:50:33	Dec 14 00:22:53	13.45	20698126	289	2949	0.01%	262.74	322	0	87	12	0	223	0.51%	0.08%	1.76	0.12%	2.81	864111	4.17%	15992	0.08%	0.00%	0.81%	94.92%	0	0.00%
SRR5712498	genome	Dec 17 10:58:36	Dec 17 10:59:15	Dec 17 11:17:12	66.29	19831075	291	16781764	84.62%	289.23	19124405	18807715	18856403	134157	16540	117305	0.27%	0.01%	1.59	0.01%	1.39	1048138	5.29%	50166	0.25%	0.00%	9.79%	0.05%	0	0.00%
SRR5712498	circRNA	Dec 19 07:39:24	Dec 19 07:39:26	Dec 19 08:07:30	4.28	2001452	287	99618	4.98%	276.37	7685	0	1533	364	24	5764	0.35%	0.02%	2.34	0.03%	2.16	19338	0.97%	233	0.01%	0.00%	94.01%	0.03%	0	0.00%
SRR5712499	rRNA	Dec 14 04:21:27	Dec 14 04:21:27	Dec 14 08:05:12	5.61	20933960	283	1647	0.01%	227.18	381	0	133	7	0	241	0.76%	0.14%	2.93	0.10%	4.91	1340298	6.40%	28722	0.14%	0.00%	2.82%	90.63%	0	0.00%
SRR5712499	genome	Dec 17 12:17:59	Dec 17 12:18:50	Dec 17 12:43:26	47.79	19592104	286	15145433	77.30%	284.86	16298948	15962924	16036385	109816	15228	137519	0.33%	0.01%	1.52	0.01%	1.34	1617005	8.25%	91532	0.47%	0.00%	13.59%	0.38%	0	0.00%
SRR5712499	circRNA	Dec 19 01:05:23	Dec 19 01:05:25	Dec 19 02:59:08	1.49	2830474	281	117901	4.17%	264.01	8804	0	1759	405	42	6598	0.38%	0.03%	2.68	0.03%	2.25	24416	0.86%	322	0.01%	0.00%	94.95%	0.02%	0	0.00%
SRR5712500	rRNA	Dec 14 07:26:51	Dec 14 07:26:51	Dec 14 09:17:50	10.83	20026542	288	1752	0.01%	255.17	328	0	119	23	0	186	0.87%	0.08%	1.86	0.03%	1.83	2410858	12.04%	37823	0.19%	0.00%	1.26%	86.50%	0	0.00%
SRR5712500	genome	Dec 16 02:15:38	Dec 16 02:17:24	Dec 16 03:05:58	21.76	17614042	290	13287395	75.44%	287.32	14769652	14414022	14495747	99846	12050	162009	0.32%	0.01%	1.62	0.01%	1.33	1371017	7.78%	54194	0.31%	0.00%	16.19%	0.29%	0	0.00%
SRR5712500	circRNA	Dec 19 01:29:28	Dec 19 01:29:30	Dec 19 02:39:14	2.54	2956457	289	94611	3.20%	278.19	8853	0	1684	392	66	6711	0.36%	0.04%	3.17	0.02%	1.76	16609	0.56%	210	0.01%	0.00%	96.22%	0.01%	0	0.00%
SRR5712501	rRNA	Dec 13 22:50:33	Dec 13 22:50:33	Dec 14 02:02:02	5.85	18681656	288	1263	0.01%	259.00	353	0	172	18	0	163	0.86%	0.03%	1.18	0.03%	1.69	2655084	14.21%	39560	0.21%	0.00%	1.24%	84.33%	0	0.00%
SRR5712501	genome	Dec 16 04:08:11	Dec 16 04:09:17	Dec 16 04:53:25	21.79	16025387	290	11695229	72.98%	287.06	13433797	13159894	13217686	91942	11974	112195	0.32%	0.01%	1.57	0.01%	1.35	1074061	6.70%	54546	0.34%	0.00%	19.62%	0.36%	0	0.00%
SRR5712501	circRNA	Dec 19 06:35:49	Dec 19 06:35:51	Dec 19 07:36:43	3.21	3256734	289	74656	2.29%	277.16	6563	0	1406	269	37	4851	0.39%	0.02%	2.79	0.04%	2.22	14015	0.43%	161	0.00%	0.00%	97.26%	0.01%	0	0.00%
SRR5712502	rRNA	Dec 14 06:20:03	Dec 14 06:20:03	Dec 14 09:24:14	7.42	22769442	285	2086	0.01%	229.48	308	0	120	9	0	179	0.66%	0.06%	1.73	0.10%	1.67	1951230	8.57%	39597	0.17%	0.00%	2.07%	89.18%	0	0.00%
SRR5712502	genome	Dec 17 10:43:21	Dec 17 10:44:04	Dec 17 11:06:05	56.73	20816212	289	16068548	77.19%	286.99	20092081	19724922	19807363	130068	16387	138263	0.31%	0.01%	1.71	0.01%	1.34	1679892	8.07%	50002	0.24%	0.00%	14.34%	0.16%	0	0.00%
SRR5712502	circRNA	Dec 19 00:19:41	Dec 19 00:19:45	Dec 19 01:57:15	1.89	3068563	286	126651	4.13%	274.39	10682	0	2587	556	16	7523	0.35%	0.03%	2.57	0.02%	1.64	24738	0.81%	294	0.01%	0.00%	95.04%	0.02%	0	0.00%
SRR5712503	rRNA	Dec 14 02:28:31	Dec 14 02:28:31	Dec 14 05:20:27	8.40	24072004	288	1269	0.01%	223.04	277	0	100	16	0	161	0.60%	0.10%	2.75	0.05%	2.26	1584962	6.58%	29454	0.12%	0.00%	1.29%	92.00%	0	0.00%
SRR5712503	genome	Dec 15 22:50:25	Dec 15 22:51:47	Dec 15 23:52:36	22.18	22485847	290	17978627	79.96%	286.92	19407625	18997634	19136417	137100	18539	115569	0.32%	0.01%	1.59	0.01%	1.34	2021159	8.99%	60223	0.27%	0.00%	10.49%	0.29%	0	0.00%
SRR5712503	circRNA	Dec 19 04:16:03	Dec 19 04:16:07	Dec 19 06:35:17	1.07	2487062	288	102639	4.13%	275.98	9490	0	1928	358	29	7175	0.36%	0.03%	2.63	0.04%	2.46	16788	0.68%	255	0.01%	0.00%	95.17%	0.01%	0	0.00%
SRR5712504	rRNA	Dec 13 22:50:33	Dec 13 22:50:33	Dec 14 01:45:33	9.36	27307493	288	1636	0.01%	242.39	532	0	152	23	0	357	0.67%	0.12%	2.30	0.05%	2.78	1631372	5.97%	26826	0.10%	0.00%	1.18%	92.74%	0	0.00%
SRR5712504	genome	Dec 15 17:17:24	Dec 15 17:18:46	Dec 15 18:11:59	28.95	25674502	290	21332295	83.09%	287.54	23857154	23360722	23463822	164783	19520	209029	0.30%	0.01%	1.47	0.01%	1.35	1662859	6.48%	51580	0.20%	0.00%	10.20%	0.03%	0	0.00%
SRR5712504	circRNA	Dec 19 02:21:54	Dec 19 02:21:58	Dec 19 03:28:59	2.40	2679701	285	164106	6.12%	275.31	12292	0	2564	228	131	9369	0.34%	0.03%	2.72	0.02%	1.90	29939	1.12%	475	0.02%	0.00%	92.71%	0.03%	0	0.00%
SRR5712505	rRNA	Dec 14 07:56:11	Dec 14 07:56:11	Dec 14 11:11:28	8.54	27804379	288	1218	0.00%	240.92	213	0	65	23	0	125	0.56%	0.12%	2.76	0.09%	2.91	1089803	3.92%	24807	0.09%	0.00%	1.46%	94.52%	0	0.00%
SRR5712505	genome	Dec 15 16:34:25	Dec 15 16:35:31	Dec 15 17:15:33	40.04	26713396	289	22616620	84.66%	285.71	19113352	18495996	18829713	121950	17765	143924	0.36%	0.01%	1.49	0.01%	1.25	2155780	8.07%	26912	0.10%	0.00%	7.11%	0.05%	0	0.00%
SRR5712505	circRNA	Dec 19 04:07:35	Dec 19 04:07:40	Dec 19 06:02:52	1.01	1942228	286	232406	11.97%	279.80	19877	0	4232	882	84	14679	0.33%	0.02%	2.57	0.03%	2.20	28755	1.48%	291	0.01%	0.00%	86.51%	0.03%	0	0.00%
SRR5712506	rRNA	Dec 13 22:50:33	Dec 13 22:50:33	Dec 14 02:04:23	9.83	31768122	290	712	0.00%	225.28	245	0	133	14	0	98	0.74%	0.05%	1.32	0.00%	1.00	3774221	11.88%	50738	0.16%	0.00%	0.78%	87.18%	0	0.00%
SRR5712506	genome	Dec 17 09:42:47	Dec 17 09:44:10	Dec 17 10:23:50	42.34	27993209	291	14449081	51.62%	287.98	17579064	17250247	17278990	148645	15589	135840	0.31%	0.01%	1.62	0.01%	1.35	1072404	3.83%	46490	0.17%	0.00%	44.34%	0.04%	0	0.00%
SRR5712506	circRNA	Dec 19 03:31:29	Dec 19 03:31:33	Dec 19 06:37:34	4.02	12472085	292	106825	0.86%	278.25	8558	0	1629	407	86	6436	0.37%	0.03%	2.51	0.03%	2.40	18451	0.15%	322	0.00%	0.00%	98.99%	0.01%	0	0.00%
SRR5712507	rRNA	Dec 14 02:26:29	Dec 14 02:26:29	Dec 14 06:07:03	7.98	29333101	289	1048	0.00%	233.71	496	0	200	11	0	285	0.88%	0.06%	1.45	0.04%	2.54	5418526	18.47%	71192	0.24%	0.00%	1.12%	80.17%	0	0.00%
SRR5712507	genome	Dec 15 21:27:45	Dec 15 21:28:53	Dec 15 22:34:43	21.79	23913562	291	17047953	71.29%	288.34	21882648	21523091	21573331	150074	18174	141069	0.32%	0.01%	1.55	0.01%	1.36	1370087	5.73%	63704	0.27%	0.00%	22.56%	0.15%	0	0.00%
SRR5712507	circRNA	Dec 19 06:30:53	Dec 19 06:30:55	Dec 19 08:03:45	3.55	5495894	290	126090	2.29%	275.32	9647	0	1850	321	190	7286	0.38%	0.03%	2.75	0.02%	1.95	21010	0.38%	219	0.00%	0.00%	97.30%	0.02%	0	0.00%
SRR5712508	rRNA	Dec 13 22:52:40	Dec 13 22:52:40	Dec 14 01:58:46	9.94	30821068	289	1658	0.01%	254.14	226	0	71	18	0	137	0.74%	0.08%	1.93	0.09%	3.47	626392	2.03%	13120	0.04%	0.00%	1.04%	96.88%	0	0.00%
SRR5712508	genome	Dec 15 14:34:50	Dec 15 14:37:11	Dec 15 15:41:12	28.30	30193025	290	26063013	86.32%	286.97	23400687	22738416	23060109	147059	21734	171785	0.39%	0.01%	1.50	0.01%	1.29	1618657	5.36%	45427	0.15%	0.00%	8.08%	0.09%	0	0.00%
SRR5712508	circRNA	Dec 19 03:11:59	Dec 19 03:12:04	Dec 19 05:59:35	0.90	2511806	284	217552	8.66%	277.59	16688	0	3336	796	168	12388	0.40%	0.02%	2.40	0.03%	2.28	30098	1.20%	286	0.01%	0.00%	90.09%	0.04%	0	0.00%
SRR5712509	rRNA	Dec 14 06:30:28	Dec 14 06:30:28	Dec 14 08:56:35	12.74	31033547	288	1748	0.01%	211.18	557	0	243	45	0	269	0.61%	0.04%	1.73	0.01%	1.19	6599761	21.27%	95487	0.31%	0.00%	1.07%	77.35%	0	0.00%
SRR5712509	genome	Dec 15 19:17:41	Dec 15 19:18:47	Dec 15 20:21:02	23.55	24432054	291	19516401	79.88%	288.15	24763733	24309067	24397837	164136	20728	181032	0.36%	0.01%	1.48	0.01%	1.31	1368401	5.60%	64407	0.26%	0.00%	14.18%	0.08%	0	0.00%
SRR5712509	circRNA	Dec 19 04:36:23	Dec 19 04:36:27	Dec 19 06:29:08	1.89	3547682	287	166537	4.69%	278.32	13676	0	2911	321	7	10437	0.42%	0.03%	3.07	0.03%	1.95	28871	0.81%	385	0.01%	0.00%	94.45%	0.03%	0	0.00%
SRR5712510	rRNA	Dec 14 02:32:16	Dec 14 02:32:16	Dec 14 06:35:41	6.70	27195696	288	1189	0.00%	240.43	660	0	296	39	0	325	0.77%	0.04%	1.31	0.03%	1.90	5329300	19.60%	66075	0.24%	0.00%	1.09%	79.06%	0	0.00%
SRR5712510	genome	Dec 17 10:28:29	Dec 17 10:29:10	Dec 17 10:55:54	49.07	21865226	290	16215480	74.16%	287.40	17478544	17110016	17179559	119830	14809	164346	0.33%	0.01%	1.52	0.01%	1.33	1405457	6.43%	57500	0.26%	0.00%	19.07%	0.08%	0	0.00%
SRR5712510	circRNA	Dec 19 00:19:41	Dec 19 00:19:44	Dec 19 01:26:27	3.82	4244661	289	70554	1.66%	277.19	6239	0	1051	319	49	4820	0.40%	0.02%	2.20	0.03%	2.20	13371	0.32%	237	0.01%	0.00%	98.00%	0.02%	0	0.00%
SRR5712511	rRNA	Dec 14 07:34:13	Dec 14 07:34:13	Dec 14 13:16:46	6.33	36124371	286	1011	0.00%	186.63	248	0	123	23	0	102	1.02%	0.05%	1.63	0.02%	1.67	1758765	4.87%	31152	0.09%	0.00%	1.87%	93.18%	0	0.00%
SRR5712511	genome	Dec 15 14:34:50	Dec 15 14:37:11	Dec 15 15:47:42	29.24	34364601	287	27907538	81.21%	283.82	21235894	20462637	20904659	133437	20859	176939	0.40%	0.01%	1.42	0.01%	1.25	4020805	11.70%	66570	0.19%	0.00%	6.80%	0.09%	0	0.00%
SRR5712511	circRNA	Dec 19 00:19:41	Dec 19 00:19:45	Dec 19 04:10:09	0.63	2436749	279	258111	10.59%	276.93	21511	0	5076	830	115	15490	0.39%	0.02%	2.39	0.03%	2.18	32640	1.34%	557	0.02%	0.00%	88.00%	0.04%	0	0.00%
SRR5712512	rRNA	Dec 14 08:09:57	Dec 14 08:09:57	Dec 14 10:15:59	13.32	27988106	288	1410	0.01%	234.47	809	0	443	16	0	350	0.68%	0.03%	1.83	0.02%	1.46	6038784	21.58%	93772	0.34%	0.00%	1.00%	77.08%	0	0.00%
SRR5712512	genome	Dec 15 23:54:31	Dec 15 23:56:11	Dec 16 01:21:47	15.38	21947943	290	16559431	75.45%	287.69	20380472	20004867	20059431	145455	16647	158939	0.33%	0.01%	1.55	0.01%	1.32	1331216	6.07%	70018	0.32%	0.00%	18.07%	0.10%	0	0.00%
SRR5712512	circRNA	Dec 19 01:18:19	Dec 19 01:18:23	Dec 19 06:23:09	0.80	4057649	288	114977	2.83%	277.16	10603	0	2171	749	14	7669	0.41%	0.03%	3.15	0.05%	2.94	21103	0.52%	313	0.01%	0.00%	96.62%	0.02%	0	0.00%
SRR5712513	rRNA	Dec 14 05:42:37	Dec 14 05:42:38	Dec 14 08:28:58	11.68	32372918	288	1017	0.00%	245.85	682	0	392	26	0	264	0.68%	0.06%	2.48	0.04%	1.80	6035908	18.64%	78548	0.24%	0.00%	1.09%	80.02%	0	0.00%
SRR5712513	genome	Dec 15 18:14:26	Dec 15 18:15:53	Dec 15 19:14:32	26.94	26336028	290	20130108	76.44%	286.70	18087933	17654953	17772860	124544	17570	172959	0.35%	0.01%	1.38	0.01%	1.27	1465369	5.56%	36334	0.14%	0.00%	17.82%	0.04%	0	0.00%
SRR5712513	circRNA	Dec 19 03:19:52	Dec 19 03:19:54	Dec 19 04:18:28	4.86	4740951	289	152568	3.22%	278.89	11122	0	2540	337	69	8176	0.38%	0.02%	2.37	0.03%	2.10	23505	0.50%	338	0.01%	0.00%	96.26%	0.02%	0	0.00%
SRR5712516	rRNA	Dec 14 13:56:12	Dec 14 13:56:12	Dec 14 18:57:03	3.06	15337464	270	3089	0.02%	143.87	638	0	267	39	0	332	1.33%	0.04%	1.43	0.04%	2.50	1873721	12.22%	36268	0.24%	0.00%	4.85%	82.68%	0	0.00%
SRR5712516	genome	Dec 16 09:12:27	Dec 16 09:14:23	Dec 16 09:41:47	29.48	13460673	277	10125618	75.22%	277.66	8315432	8063721	8121485	60073	7143	126731	0.36%	0.01%	1.52	0.01%	1.30	1382282	10.27%	44210	0.33%	0.00%	14.09%	0.09%	0	0.00%
SRR5712516	circRNA	Dec 19 02:10:11	Dec 19 02:10:13	Dec 19 02:40:20	3.89	1953685	264	72019	3.69%	261.71	5467	0	1074	309	48	4036	0.41%	0.02%	2.46	0.02%	1.95	16003	0.82%	317	0.02%	0.00%	95.47%	0.01%	0	0.00%
SRR5712517	rRNA	Dec 14 13:56:10	Dec 14 13:56:10	Dec 14 18:12:03	3.83	16318254	273	1291	0.01%	190.83	681	0	168	44	0	469	1.42%	0.04%	1.66	0.10%	2.19	1531229	9.38%	29411	0.18%	0.00%	4.94%	85.49%	0	0.00%
SRR5712517	genome	Dec 17 13:25:04	Dec 17 13:25:48	Dec 17 13:37:34	75.39	14785771	278	11409650	77.17%	279.07	10102619	9791174	9873425	68677	9080	151437	0.36%	0.01%	1.60	0.01%	1.30	1557072	10.53%	41722	0.28%	0.00%	11.99%	0.03%	0	0.00%
SRR5712517	circRNA	Dec 19 06:37:36	Dec 19 06:37:38	Dec 19 06:58:02	5.35	1819490	267	111801	6.14%	259.13	7807	0	1543	275	49	5940	0.38%	0.02%	2.30	0.02%	1.85	25910	1.42%	702	0.04%	0.00%	92.38%	0.01%	0	0.00%
SRR5712518	rRNA	Dec 13 22:52:13	Dec 13 22:52:13	Dec 14 04:27:55	4.27	23907148	274	4320	0.02%	151.77	739	0	263	32	0	444	0.94%	0.08%	3.18	0.02%	1.84	2825012	11.82%	70425	0.29%	0.00%	4.29%	83.58%	0	0.00%
SRR5712518	genome	Dec 17 11:29:01	Dec 17 11:29:43	Dec 17 11:50:01	62.30	21077854	279	14676545	69.63%	280.62	15916857	15532251	15607555	105693	14159	189450	0.34%	0.01%	1.64	0.01%	1.37	2295324	10.89%	82618	0.39%	0.00%	19.04%	0.05%	0	0.00%
SRR5712518	circRNA	Dec 19 06:01:03	Dec 19 06:01:05	Dec 19 06:33:01	7.72	4106569	269	137779	3.36%	257.80	9142	0	2048	420	22	6652	0.40%	0.02%	2.14	0.01%	1.61	33231	0.81%	868	0.02%	0.00%	95.81%	0.01%	0	0.00%
SRR5712519	rRNA	Dec 14 02:30:36	Dec 14 02:30:36	Dec 14 07:56:24	4.17	22619970	277	2829	0.01%	162.22	542	0	226	31	0	285	0.83%	0.05%	1.69	0.01%	1.25	2540615	11.23%	56480	0.25%	0.00%	3.24%	85.26%	0	0.00%
SRR5712519	genome	Dec 17 12:19:19	Dec 17 12:20:05	Dec 17 12:40:44	58.33	20076571	282	14889143	74.16%	282.35	17226133	16862147	16928422	112741	14992	169978	0.33%	0.01%	1.59	0.01%	1.39	2128346	10.60%	96821	0.48%	0.00%	14.67%	0.08%	0	0.00%
SRR5712519	circRNA	Dec 19 02:01:25	Dec 19 02:01:30	Dec 19 03:35:32	1.95	3059615	275	137287	4.49%	260.89	9146	0	1899	431	6	6810	0.41%	0.02%	2.59	0.02%	2.24	36150	1.18%	777	0.03%	0.00%	94.30%	0.01%	0	0.00%
SRR5712520	rRNA	Dec 14 13:56:10	Dec 14 13:56:10	Dec 14 17:15:23	4.70	15610399	276	3385	0.02%	100.21	378	0	152	29	0	197	2.20%	0.02%	1.71	0.01%	1.67	1642125	10.52%	25889	0.17%	0.00%	3.63%	85.66%	0	0.00%
SRR5712520	genome	Dec 17 13:51:16	Dec 17 13:51:58	Dec 17 14:07:38	53.48	13964900	281	10435200	74.72%	280.93	10252778	9971629	10019822	68194	9833	154929	0.33%	0.01%	1.52	0.01%	1.33	1287573	9.22%	63872	0.46%	0.00%	15.52%	0.08%	0	0.00%
SRR5712520	circRNA	Dec 19 07:38:50	Dec 19 07:38:52	Dec 19 08:18:46	3.37	2242990	271	79802	3.56%	260.26	5551	0	1059	245	26	4221	0.39%	0.02%	2.62	0.02%	1.94	20899	0.93%	678	0.03%	0.00%	95.47%	0.01%	0	0.00%
SRR5712521	rRNA	Dec 14 16:58:46	Dec 14 16:58:46	Dec 14 21:06:21	3.96	16331782	273	1838	0.01%	197.80	466	0	154	23	0	289	1.93%	0.07%	1.51	0.05%	3.46	1158124	7.09%	23715	0.15%	0.00%	5.10%	87.65%	0	0.00%
SRR5712521	genome	Dec 17 13:07:35	Dec 17 13:08:15	Dec 17 13:23:34	59.43	15171847	278	11337025	74.72%	277.77	10410707	10157030	10221825	70594	10445	107843	0.38%	0.01%	1.57	0.03%	1.57	1636365	10.79%	57045	0.38%	0.00%	13.98%	0.13%	0	0.00%
SRR5712521	circRNA	Dec 19 05:16:57	Dec 19 05:17:01	Dec 19 06:23:24	1.99	2199061	268	99639	4.53%	252.95	5870	0	1297	305	32	4236	0.39%	0.02%	2.73	0.02%	2.20	22789	1.04%	251	0.01%	0.00%	94.41%	0.01%	0	0.00%
SRR5712522	rRNA	Dec 14 18:09:16	Dec 14 18:09:16	Dec 14 23:13:34	3.40	17229174	273	1467	0.01%	145.71	288	0	141	18	0	129	1.50%	0.03%	1.44	0.04%	3.90	989377	5.74%	22908	0.13%	0.00%	4.54%	89.58%	0	0.00%
SRR5712522	genome	Dec 17 13:02:01	Dec 17 13:03:13	Dec 17 13:13:07	98.41	16238341	277	13310494	81.97%	274.77	9512503	9207123	9319666	64762	8600	119475	0.39%	0.01%	1.50	0.01%	1.26	1824289	11.23%	28445	0.18%	0.00%	6.58%	0.04%	0	0.00%
SRR5712522	circRNA	Dec 19 02:43:23	Dec 19 02:43:26	Dec 19 03:10:40	2.43	1104278	264	102216	9.26%	265.19	8311	0	1917	316	25	6053	0.37%	0.02%	2.36	0.03%	2.02	18323	1.66%	389	0.04%	0.00%	89.03%	0.02%	0	0.00%
SRR5712523	rRNA	Dec 14 13:56:10	Dec 14 13:56:10	Dec 15 11:50:19	1.03	22610849	249	9815	0.04%	85.86	669	0	347	48	0	274	2.00%	0.01%	1.14	0.01%	1.64	2150645	9.51%	47278	0.21%	0.00%	11.11%	79.13%	0	0.00%
SRR5712523	genome	Dec 16 05:28:43	Dec 16 05:29:50	Dec 16 05:52:42	53.66	20450401	256	16493781	80.65%	256.63	10239287	9865264	10000450	68899	8853	161085	0.44%	0.01%	1.43	0.01%	1.24	2381640	11.65%	51549	0.25%	0.00%	7.42%	0.03%	0	0.00%
SRR5712523	circRNA	Dec 19 03:01:03	Dec 19 03:01:05	Dec 19 03:18:55	5.30	1575452	242	122837	7.80%	251.08	8794	0	1954	341	58	6441	0.41%	0.02%	2.21	0.03%	2.19	26598	1.69%	758	0.05%	0.00%	90.45%	0.02%	0	0.00%
SRR5712524	rRNA	Dec 14 13:56:11	Dec 14 13:56:11	Dec 14 18:59:19	2.89	14594183	271	1699	0.01%	170.64	440	0	141	35	0	264	0.91%	0.04%	1.50	0.03%	3.18	1167398	8.00%	42893	0.29%	0.00%	5.09%	86.61%	0	0.00%
SRR5712524	genome	Dec 17 14:37:43	Dec 17 14:38:29	Dec 17 14:46:17	103.27	13425103	276	10841612	80.76%	275.81	8392456	8088428	8189953	51896	7499	143108	0.43%	0.01%	1.41	0.01%	1.26	1650245	12.29%	37680	0.28%	0.00%	6.65%	0.02%	0	0.00%
SRR5712524	circRNA	Dec 19 05:50:35	Dec 19 05:50:38	Dec 19 06:00:29	5.69	933555	257	91849	9.84%	259.63	6378	0	1336	286	22	4734	0.40%	0.02%	2.60	0.03%	2.26	16439	1.76%	280	0.03%	0.00%	88.35%	0.02%	0	0.00%
SRR5712525	rRNA	Dec 14 15:09:09	Dec 14 15:09:09	Dec 14 19:45:57	3.20	14769804	273	1474	0.01%	126.82	249	0	115	11	0	123	1.42%	0.03%	1.65	0.02%	2.05	806447	5.46%	18821	0.13%	0.00%	4.50%	89.91%	0	0.00%
SRR5712525	genome	Dec 16 09:43:17	Dec 16 09:44:16	Dec 16 10:02:45	45.32	13961886	278	11816965	84.64%	275.57	8949262	8661849	8776033	57099	7278	108852	0.40%	0.01%	1.47	0.01%	1.25	1319158	9.45%	21319	0.15%	0.00%	5.74%	0.02%	0	0.00%
SRR5712525	circRNA	Dec 19 08:01:20	Dec 19 08:01:21	Dec 19 08:11:57	4.68	826277	265	84213	10.19%	270.61	6952	0	1453	317	29	5153	0.37%	0.02%	2.43	0.03%	2.18	13971	1.69%	237	0.03%	0.00%	88.07%	0.02%	0	0.00%
SRR5712526	rRNA	Dec 14 13:56:10	Dec 14 13:56:10	Dec 14 17:49:45	3.00	11693258	272	1349	0.01%	162.32	447	0	141	35	0	271	1.26%	0.06%	2.03	0.06%	2.47	1138959	9.74%	31297	0.27%	0.00%	4.38%	85.60%	0	0.00%
SRR5712526	genome	Dec 17 15:16:53	Dec 17 15:17:36	Dec 17 15:27:41	62.79	10552962	278	7664754	72.63%	277.50	6701353	6486007	6535621	47295	5976	112461	0.39%	0.01%	1.51	0.01%	1.25	1223924	11.60%	31145	0.30%	0.00%	15.38%	0.10%	0	0.00%
SRR5712526	circRNA	Dec 19 06:35:07	Dec 19 06:35:09	Dec 19 06:53:11	5.54	1664628	274	64602	3.88%	266.71	5180	0	1375	197	33	3575	0.39%	0.02%	2.67	0.03%	1.70	11836	0.71%	227	0.01%	0.00%	95.39%	0.01%	0	0.00%
SRR5712527	rRNA	Dec 14 17:52:03	Dec 14 17:52:03	Dec 14 22:39:30	3.30	15833424	258	3473	0.02%	161.66	1046	0	463	70	0	513	1.21%	0.03%	1.32	0.03%	2.26	3470112	21.92%	77234	0.49%	0.00%	7.11%	70.46%	0	0.00%
